"Title","English.title","Runtime","Producer","Cost","Kinopoisk.mark","Marks.from.kinopoisk","IMDb.mark","Marks.from.IMDb"
"Иностранец","The Foreigner",113,"Мартин Кэмпбелл","35000000",7.124,33163,7.0074,74606
"Призрачная нить","Phantom Thread",130,"Пол Томас Андерсон","35000000",7.022,16137,7.5074,74923
"Между нами горы","The Mountain Between Us",112,"Хани Абу-Ассад","35000000",6.622,23288,6.4051,51655
"Снеговик","The Snowman",119,"Томас Альфредсон","35000000",5.596,28973,5.1043,43622
"Ограбление в ураган","The Hurricane Heist",102,"Роб Коэн","35000000",5.448,6821,5.0012,12548
"Малыш на драйве","Baby Driver",112,"Эдгар Райт","34000000",7.165,92993,7.60334,334732
"Детройт","Detroit",143,"Кэтрин Бигелоу","34000000",6.761,2328,7.4036,36737
"Наемник","American Assassin",112,"Майкл Куэста","33000000",6.139,11886,6.2053,53270
"Тигр жив","Tiger Zinda Hai",161,"Али Аббас Зафар","31000000",6.048,232,6.1017,17704
"Война волков 2","Zhan lang 2",123,"Джеки Ву","30100000",5.946,509,6.204,4976
"Большая игра","Molly's Game",140,"Аарон Соркин","30000000",7.543,42592,7.5088,88478
"мама!","mother!",121,"Даррен Аронофски","30000000",7.143,62912,6.6014,140692
"Телохранитель киллера","The Hitman's Bodyguard",118,"Патрик Хьюз","30000000",6.803,61820,6.90149,149722
"Жажда смерти","Death Wish",107,"Элай Рот","30000000",6.496,14123,6.404,40164
"Космос между нами","The Space Between Us",120,"Питер Челсом","30000000",6.458,20736,6.4037,37836
"Взрывная блондинка","Atomic Blonde",115,"Дэвид Литч","30000000",6.434,43477,6.70139,139098
"Стань легендой! Бигфут Младший","The Son of Bigfoot",92,"Жереми Дегрусон...","30000000",6.403,1565,6.103,3663
"Репродукция","Replicas",107,"Джеффри Начманофф","30000000",5.924,9873,5.407,7642
"Бессонная ночь","Sleepless",95,"Баран бо Одар","30000000",5.598,1601,5.6023,23579
"Удача Логана","Logan Lucky",118,"Стивен Содерберг","29000000",6.73,30088,7.0097,97581
"Очень плохие мамочки 2","A Bad Moms Christmas",104,"Джон Лукас...","28000000",5.7,13233,5.5027,27661
"Колесо чудес","Wonder Wheel",101,"Вуди Аллен","25000000",6.628,10061,6.2017,17165
"Тюльпанная лихорадка","Tulip Fever",105,"Джастин Чадвик","25000000",6.354,11344,6.2014,14148
"Бог войны","Dang kou feng yun",129,"Гордон Чан","25000000",6.224,189,6.401,1502
"Калифорнийский дорожный патруль","CHIPS",100,"Дэкс Шепард","25000000",5.975,5319,6.0033,33728
"Собачья жизнь","A Dog's Purpose",100,"Лассе Халльстрём","22000000",7.862,42890,7.0048,48655
"Роман Израэл, Esq.","Roman J. Israel, Esq.",122,"Дэн Гилрой","22000000",6.346,3112,6.402,20297
